aid	deepl_title
128794	What did the investigators find out?
128795	Police trainee suspected of shooting fellow trainee
128796	Police officers receive reinforcement - six new administrative positions
128797	Main suspect caught in Turkey - and released again
128798	Rhein-Erft district stops daycare bonus for municipal employees
128800	KVB passenger figures are cause for both joy and concern
128801	"""We want a defense industry in Germany""."
128802	This is how the meeting with Ditib representatives in Bergneustadt went
128803	German magician Jan Rouven sentenced to 20 years in prison in USA
128804	Uschi Glas turns 75 - A look at a picture-book career
128806	Baseball star signs for $330 million
128807	Is 20 km/h coming to the streets around Chlodwigplatz?
128808	These restaurants in Brühl, Hürth and Frechen brave the great days
128809	Opposition plans legal action against compromise of SPD and CDU
128810	Düsseldorf Airport reopens after evacuation
128811	Third-league club to play in Düsseldorf next season - Fortuna boss pissed off
128813	Dürr on raid: Did not rat on my friends
128814	Women's downhill in Russia canceled for Saturday
128815	Men save themselves from car before collision with train
128816	Man finds dead snake more than two meters long
128818	Still no buyer found for Michael Jackson's Neverland Ranch
128819	In 30 minutes: Two cycling gold medals and a world record
128820	32-year-old hoards nearly 50 king pythons in apartment
128822	Tarantula kills marsupial rat - scientists shocked
128823	"Christian Kohlund tops ""Kölle Alaaf"" as a lawyer"
128824	Greta Thunberg demonstrates with students in Hamburg
128825	Trump defends Kim Jong Un - sparking outrage
128826	What can medical wearables do?
128827	Tesla to sell electric cars only via the Internet in the future
128829	Norway introduces exhaust gas limits for cruise ships
128830	More safety for the Chlodwigplatz in Cologne
128831	Jecken celebrate mostly peaceful - man attacks paramedics
128833	Flixbus sees red - New long-distance bus provider launches
128834	New long-distance bus provider launches in Germany
128835	Man thrown from streetcar after accident with truck
128836	"Drunk jerk in ""Deadpool"" costume kicks small dog almost dead"
128838	Especially young people attracted attention with alcohol and aggression
128839	Police rescues man from Rhine at the last second
128840	Fraudsters impersonate police officers - how to protect yourself
128841	Military business is booming at Rheinmetall
128843	Arrest in the Rebecca case
128845	Adiós, public booze tourism in Mallorca
128846	Car driver parks suspected robber on the run to
128847	Axel Scheffler considers British citizenship
128848	Fewer operations in Rhein-Sieg - girls touched indecently?
128849	"Pragmatic to the ""silverware"": Title TÜV for the Bavarians"
128850	Baumgartl back in VfB training after concussion
128851	Car manufacturers stonewall on diesel rebate figures
128852	High Jecken attendance in the DuMont house in Niehl
128856	Police takes stock after Weiberfastnacht
128857	Tedesco under pressure: Coach in focus after Heidel's withdrawal
128858	Schull- und Veedelszöch take place - Rosenmontag under observation
128860	2018 was a good year for most employees
128862	Chairman of the Turkish Football Federation resigns
128863	Significantly more alcoholized youths in Bechen
128864	Customs finds about 20 kilos of white truffles in luggage of couple
128866	Multi-talented: Simmerling can do it on skis and on the bike
128868	These celebrities ride in the Shrove Monday procession in 2019
128869	Eichstätt replaces blue women's parking signs with pink ones
128870	Cyclist seriously injures pedestrian and flees
128871	Robber injures Troisdorf man with knife - arrest
128872	Werder without Osako - Bartels to make comeback in U23 team
128873	Parole expired: Hoeneß is a free man again
128874	These are the best birth photos of the year
128876	"Ministry admits mistakes in ""Gorch Fock"" refurbishment"
128877	Nonsense - doping-free sport is an illusion everywhere
128879	Great start to the World Cup year for DFB women with Voss-Tecklenburg
128880	ECB opens doors to art
128882	Federal Supreme Court upholds murder conviction of speeding driver
128883	Tunisian alleged to have supported Anis Amri - where is he now?
128885	Unknown persons break into Protestant church in Euskirchen
128886	Emergency door opened: Düsseldorf Airport cleared, flight cancellations
128887	DFB fulfills Löw's wish: Test against Argentina in October
128888	United in ups and downs: Hannover 96 and VfB Stuttgart
128889	Erftstadt woman injured in accident in Vettweiß
128890	Accident at work on construction machine: man seriously injured
128891	Cologne police looking for burglar from Vogelsang
128892	Lions without coach Jacobsen in the Champions League
128893	Breeder makes city Ahlen heavy reproaches
128894	Stojanovic new Latvian national coach
128895	Police student shoots fellow trainee
128896	Works of almost all Kaiserring bearers in Goslar
128897	Flower store closes - fashion company takes over
128898	Anyone who disregards these rules on Whatsapp may be threatened with account blocking
128899	Significantly more wild pinkler on Weiberfastnacht caught
128900	Jecke move in a good mood through Schwadorf
128902	Kläbo makes Norway cheer - DSV team satisfied
128903	Cologne woman hit by van - witnesses wanted
128908	Fight against the negative image
128909	Jecke are at odds about new date of the Voiswinkeler train
128912	Fire department breaks windows of wrongly parked car
128913	Pug seized and sold: Criticism of the city of Ahlen grows
128915	Defendant faces life imprisonment - ex-wife attacked with meat cleaver
128916	Why an old love always influences a new relationship
128917	Forgotten by many, but not to be overlooked - the drive-in cinema in Porz
128918	Animal rights activists criticize experiments with pregnant monkeys
128919	Hunting dog kills 89-year-old woman in own house
128920	More vacancies in February 2019
128921	Thousands of Kurds gather at Deutz shipyard
128922	With Neuer to Gladbach: Alaba and Goretzka drop out
128923	FC Bayern with Neuer - Alaba and Goretzka out
128924	The 24th Bundesliga matchday in the telegram
128925	Snappy men's dance was particularly well received
128926	Butter prices fall
128928	Jecke in Niederberg defy rainy gray
128929	Alexander Gerst rides in the Shrove Monday procession
128930	France honors Berlinale boss Kosslick
128931	Weinstein feels two minutes as world record holder
128932	Böhmermann and Stelter make jokes together
128933	Influencer Shirin David storms the charts again
128934	Less truck traffic on the roads in Morsbach
128935	Unemployment rate fell in February
128936	Bürgerbüro Leichlingen serves only with appointment registration
128938	Record year for the Voss company - 600 million euros in sales
128939	"""The Testament of Doctor Mabuse"" on DVD and Blu-ray"
128940	New national team Borger/Sude starts world tour in Sydney
128941	ARD author defends herself against criticism of Widdersdorf documentary
128942	Changed route for parades in Wipperfürth and Lindlar
128943	Hertha ahead of Mainz: Trio returns - Skjelbred must pass
128944	New terrorist attack shakes Mogadishu
128945	"""I definitely see myself as a scapegoat""."
128946	Knife attack on sleeping woman: Defendant contradicts himself
128947	Ex-constitutional judge sees charitable involvement endangered
128948	Will Bechen be the new Voiswinkel?
