aid	deepl_title
118169	Mass brawl in Meschenich and fires on New Year's Eve
118171	Man is seriously injured in the hand by firecracker
118172	How Daniel Opoku from Cologne left his old life behind him
118173	"""If you are unhappy in your job in the long run, you risk a lot""."
118174	Sydney's master of ceremonies makes embarrassing mistake
118175	Kim Jong Un threatens to abandon rapprochement course
118176	Over 13,000 fans bid farewell to bassist Hartmut Priess
118178	Man crashes car into crowd
118179	Two men in NRW in danger of death - dead in Holland
118180	New Year's Eve party with drunken host escalates
118182	The Bahnstadt is growing in Opladen - the freeway remains an ongoing issue
118183	Eight people stuck in carousel at a height of 50 meters
118184	Man dies at level crossing on New Year's morning
118185	Sankt Augustiner is the youngest world champion in billiards
118186	Leader promotion agency wants to help Dürscheid - information meeting at the end of January
118187	These events await guests in the Eifel National Park
118188	Fire department speaks of quiet New Year's Eve - fire in garage
118189	City cleaners remove about 30,000 liters of garbage
118190	Balcony was in flames - New Year's Eve rocket probably triggered
118191	Number of reported fires increased more than sevenfold
118192	Cologne photographer travels around the world for pictures of the starry sky
118193	Göring-Eckardt wants to locate new authorities only in the east
118194	Man gets under subway in Düsseldorf - life-threateningly injured
118195	Police classify knife attack in Manchester as terrorism
118196	Two seriously injured after accident on B51 near Burscheid
118197	Bud Spencer, Karl May and a bit of crime fiction
118198	Child among injured - victim out of danger of death
118199	Habeck contradicts Nahles on unconditional basic income
118200	"How the Abbey ""Mary Peace"" got its name"
118201	US military apologizes for cynical tweet
118202	New Year's Eve magic at the racecourse
118203	Economic Development Officer Susanne Dettlaff Leaves Frechen City Hall
118204	Figures slightly below average - fires and burglaries
118206	Girl saves parents house from fire
118207	Tourist raped in toilet
118208	Attacks on emergency forces and dispute mediators on New Year's night
118209	Quettinger threatens neighbors with alarm pistol
118211	Kobayashi wins again just ahead of Eisenbichler
118212	"How the federal states are implementing the ""Good Childcare Act"
118213	"""Passenger car toll to start in October 2020""."
118215	"How the new party ""Volt"" wants to take off in 2019"
118216	These musicians want to fill the Lanxess Arena in 2019
118217	Dimitra came shortly after midnight
118218	Playing it safe into the new year
118221	More deaths - baby survives night in freezing cold
118222	Entertaining western parody with weak resolution
118223	Verdi announces warning strikes for cash-in-transit companies
118224	Seehofer calls for tougher laws after attacks in Amberg
118226	Van Gerwen puts the darts crown on his head
118228	Start of the Burscheid New Year's Eve celebration successful
118229	Two seriously injured after accident on B51
118230	Last highlight of the year
118231	Legacies of the night
118234	The New Normality of the Cologne New Year's Eve
118235	Ferryman Weibarth about low water and flooding from the Rhine
118236	"Traditional store ""Der Grieche"" closes in Opladen"
118237	7 pitfalls when eating - and how to avoid them
118238	Troidorf Icedome crowd puller on New Year's Day
118239	Plans for forest cemetery raise eyebrows in Overath
118240	Large contingent extinguishes fire in warehouse in Cologne-Müngersdorf
118241	People who live here
118242	Trump wants to make 'deal' with Democrats
118243	Child attacked by rhino at zoo in the USA
118244	Euro states want to produce coins worth billions of euros
118245	Michael Schumacher's family has message to fans
118247	"Bolsonaro wants ""liberation from the politically correct"" - applause from Trump"
118248	Many operations for Bonn police on New Year's Eve
118249	Rhein-Berg welcomed the new year in such different ways
118250	Standing up for people who live here
118251	This is what the district nature conservation association does for the Rolf pit
118252	"""A Game of ""Childhood"""" with Gerd Overlack and Jim Boeven"""
118253	Number of injured in Bottrop and Essen increases
118254	These processes will be the talk of 2019
118255	"US police ""mourn"" very special truck load"
118256	Kürtener sew bags with refugees - exhibition in the town hall
118257	On the heels of our author on foot through Siegburg
118258	Offers of help for women in need - high number of unreported cases
118259	"""I didn't think I'd get through this""."
118260	"""Frechenerin: ""I still feel the pressure today"""""""
118261	This is what happens at the turn of the year at a gas station
118262	SV Frielingsdorf can use its rooms again as of now
118263	Two cars and a carport were on fire
118264	Stormy depression keeps emergency services in the north busy
118265	Gay club thanks Madonna and son David
118267	How an emergency service works on New Year's Eve
118268	Dozens of operations after midnight in Oberberg
118269	In the future, passengers should always know where their suitcase is at the moment
118270	Six dead in Denmark - Deutsche Bahn freight train involved
118271	"Just don't do any laundry during the ""twelve nights"
