articleID	deepl_title
1000265260	Trainspotting star shot dead in the street
1001935289	S-Bahn track at Cologne main station is closed
1002375244	Drug dealer caught red-handed in Mülheim
1002735288	The unusual Easter fair on the bumper cars
1002835245	Police catch fleeing burglars after 40 second manhunt
1003015243	Backdown for new business park after protest
1003185292	Number of migrants in NRW at an all-time high in 2018
1003435246	Siemensstadt 2.0 in Berlin: The excavators will arrive in two years
1003715259	Markus and Dieter Anfang report from the hospital
1003875253	Ramp to lead from the bike path up to the city center
1004375288	"""Concerns of cab drivers are unjustified""."
1005275292	Uber drivers complain of attacks in Cologne
1005375241	Mondorf ferry interrupts operation for repairs
1005945245	Völler does not want to become DFB president - Havertz stays in any case
1007045242	Halstenberg makes Leipzig cheer - exchanges after the final whistle
1007325247	"""Thought long and hard about how to better integrate the new market"""
1008175251	From midfield star to reader
1008255245	"""Always keep overall interests in mind"""
1008955251	Initial eleven for the seventh victory in a row
1008975243	"Nümbrechter businessmen set up ""market meeting place"
1009875251	NRW Interior Minister Reul rules out data manipulation
1011205251	One of the greatest, but one of us
1011355250	15-ton truck threatens to fall into Hennef stream
1011955248	House dust makes you fat - and other nutrition myths
1012025243	Two hours free at Rewe and Weiherplatz
1012185249	"We raffle 3x2 tickets for ""Simply the Best - The Musical""."
1012195247	8303 people helped with spring cleaning
1012355248	Cannabis found - police investigates rapper Juju
1012425251	Opencast lignite mine becomes a gigantic lake
1012525241	New route for mobile district savings bank branch
1012535252	Perpetrator put to flight with champagne bottle
1012695292	Hannelore Elsner - joie de vivre in the pief German scene
1013775249	We raffle 3x2 tickets for Maite Kelly
1014695258	Edeka opens organic supermarkets
1014835252	New investigation against two police officers
1015145253	Come to the FC race day on Easter Monday in Weidenpesch
1015205292	Online trade profits from dubious comparison portals
1015985248	No one wants to have done it
1016095243	The concept of the city of Cologne is not convincing
1016755288	"""Fine prizes many a speeder in his driving behavior""."
1016965245	Bomb threats and hate speech - police identify suspect
1017085250	Robbery of money transporter in front of Austrian Airlines jet
1017115253	Hold out or go around - what's the best way to react to a traffic jam message?
1017765243	Animal rights activists accuse conditions in Lindlarer yard
1018495243	Marenbach presents plans for the reconstruction of Kaiserstraße
1018975289	More motorcyclists involved in accidents in NRW
1018985252	Cologne restaurateur takes over financing of Blue-White
1019075253	Dog runs ultramarathon through the Sahara with
1019665245	Cause of fire in Herchen was probably a technical defect
1019975251	Birds of prey to drive away pigeons from Cologne Cathedral with immediate effect
1022245246	The flat rate bicycle - New rental models from Holland
1022265240	How Robert Hoyzer shook up soccer 15 years ago
1022555248	Fortuna Cologne gets 1:1 against Rostock
1022605245	Youth welfare office may warn against pedophile
1023105241	Explosive documentary about Michael Jackson comes to Germany
1023195259	Katharina Barley uses unusual Cologne location for election campaign
1023215241	"Indonesia closes ""dragon island"" Komodo for a year"
1023375249	Focus on urban development on closed north-south drive
1023535256	Tiger Woods triumphs at the Masters
1024175256	Mülheimer bridge becomes one of the narrowest needle eye of Cologne
1024195256	"How cybercriminals are exploiting the hype surrounding ""Game of Thrones"
1024205256	Northern bypass B 56n to come at last
1024235256	Armada of warning signs in Leichlingen
1024255256	Young people meet representatives from politics, media and administration
1024265256	Old RWE cooling plant in rubble and ashes
1024965258	Men beat up 19-year-old man who fell on tracks
1025295252	Citizens may appeal to the Constitutional Court in NRW
1025835289	Tractor threatens to crash - and is stopped by tree
1026655246	Sonja Gerhardt was a spectator in the district court
1026745241	Cologne presidential suite occupied - Obama now has to move there
1026855249	How 1. FC Köln plans for the Bundesliga
1027995244	Power outages in Deutz and Kalk
1030405295	Seven-year-old trapped between cars in Kerpen
1030765252	Right group demolishes youth hostel
1032035246	Rocker Peter Maffay was not a beauty as a child
1033535251	Rat infestation at two Cologne elementary schools apparently under control
1033905241	Thousands of positions in German hospitals are unfilled
1034195259	Aggi Bulut obtains her products mainly from the Bergisches
1034265243	These hotel rooms are particularly sought after in Cologne
1034535240	Presidential candidate Joe Biden alleged to have kissed wife without permission
1034795292	Veh on search for president and coach Anfang
1036055295	Two men pluck feathers from duck
