aid,similarity_baseline
127211,"[128015, 128022, 128978, 129374, 128156, 128894, 128644, 128615, 129237, 128745, 127860, 128385, 128166, 128616, 128677, 128033, 128460, 129307, 128152, 128570, 128197, 129421, 129258, 128936, 128871, 127939, 129159, 129099, 128486, 129313, 128024, 128702, 129308, 129025, 129078, 127955, 128058, 129378, 128995, 128563, 128164, 128341, 129382, 128796, 128681, 128773, 128248, 129016, 129256, 128646, 129026, 128850, 129252, 128848, 128733, 128482, 129108, 128434, 128112, 128778, 128256, 128630, 128214, 128311, 128373, 127854, 129353, 127853, 128127, 129267, 129188, 128179, 129292, 128854, 129232, 128599, 128370, 128650, 128224, 128642, 128266, 129132, 128128, 128693, 128595, 128222, 129175, 128533, 128596, 128326, 129022, 128098, 129375, 127978, 129174, 128606, 129886, 127967, 128432, 128003]"
127212,"[128767, 128390, 129381, 129205, 129099, 128879, 127870, 127918, 129046, 128140, 128497, 129229, 128365, 128877, 128534, 128341, 128416, 128412, 128383, 128708, 128177, 128415, 128274, 128225, 128103, 128405, 129131, 129176, 128535, 128651, 128050, 128563, 129108, 128460, 129065, 127941, 128003, 128357, 128872, 128815, 128518, 128528, 129331, 128596, 128866, 129170, 128121, 127850, 128275, 128222, 127978, 128024, 128027, 129186, 128746, 128019, 128883, 129250, 128878, 128757, 127968, 128439, 128031, 128499, 129129, 129004, 128778, 128741, 128871, 129232, 128087, 128429, 128769, 129092, 128785, 128164, 128290, 128685, 128873, 129403, 128594, 128812, 128691, 127951, 128110, 128101, 128370, 127860, 128373, 127925, 129328, 128434, 129067, 128848, 128287, 128192, 129034, 128615, 128260, 129308]"
127213,"[127854, 129381, 127941, 128635, 128691, 127925, 129354, 128031, 128274, 128904, 128129, 128434, 128651, 129340, 129888, 128746, 129186, 128490, 129042, 127918, 128110, 129004, 128866, 129417, 129011, 128815, 129205, 128741, 129181, 128785, 128616, 128371, 128594, 129335, 128636, 128872, 127978, 129363, 128538, 128393, 128399, 128178, 128535, 129131, 129176, 128192, 128170, 128405, 128439, 129164, 128370, 129345, 129173, 129331, 129350, 128482, 129292, 127968, 128497, 129310, 129349, 128365, 128225, 128121, 128778, 129317, 128877, 129046, 127870, 128275, 128518, 128481, 128140, 128103, 128336, 129229, 129267, 128148, 128290, 128740, 129099, 128483, 128304, 127939, 129308, 128116, 129067, 128744, 128027, 128807, 128241, 128415, 129108, 128101, 129232, 128499, 128711, 128685, 128654, 128697]"
127214,"[128368, 129258, 129334, 129237, 128938, 129400, 129084, 128729, 129287, 129397, 129343, 129387, 129342, 129217, 128465, 129412, 128951, 128675, 128033, 128422, 129299, 128826, 127950, 129414, 128432, 127970, 128645, 128577, 129486, 129369, 128417, 127909, 128237, 127861, 128576, 128880, 128733, 128001, 128467, 128352, 128258, 129311, 128961, 128935, 129432, 127871, 129407, 129124, 128127, 128748, 128456, 129231, 128190, 128248, 129409, 129033, 128119, 128921, 129357, 128048, 129392, 128701, 128738, 128428, 128693, 129286, 127880, 128173, 129394, 128599, 129405, 129733, 129355, 129421, 129385, 128709, 129074, 128831, 128475, 128559, 128720, 127989, 128860, 128902, 129256, 129315, 128544, 128707, 129324, 128492, 127862, 129372, 128644, 129273, 129026, 128760, 129390, 129380, 128316, 127887]"
127215,"[128744, 128274, 128877, 129381, 128535, 128140, 128405, 129349, 129186, 128866, 129205, 128393, 129317, 128057, 128365, 127941, 128528, 129207, 129046, 128904, 129194, 127854, 129030, 128439, 128192, 128651, 129004, 129345, 128497, 129206, 127883, 128483, 128148, 128121, 129403, 128785, 128872, 129335, 128103, 129331, 128415, 129011, 128538, 127945, 128518, 128534, 128594, 128110, 129229, 129254, 128635, 128129, 127918, 128290, 128371, 128086, 128170, 128815, 128918, 128685, 128741, 128031, 129350, 127870, 128275, 129170, 128563, 128490, 129181, 128027, 129067, 128746, 129340, 129888, 129417, 129363, 128482, 129034, 128007, 127937, 128440, 129348, 128429, 128757, 129192, 128360, 128708, 128533, 127905, 128434, 128089, 128225, 128778, 128596, 127925, 128974, 128101, 128556, 128691, 129173]"
127216,"[128066, 129360, 128602, 128414, 128259, 128856, 128310, 128524, 129127, 128420, 128739, 128808, 127855, 128949, 128235, 128473, 128676, 129270, 127946, 128142, 128876, 128829, 128376, 128328, 127974, 129112, 128457, 128335, 128706, 128263, 127927, 129080, 128505, 128968, 128345, 128620, 128195, 128306, 128627, 128245, 128870, 128513, 128247, 129019, 128540, 127906, 127983, 129281, 128489, 129001, 128329, 127851, 128493, 128109, 128252, 128418, 129246, 129322, 128092, 129145, 128400, 129105, 128522, 129018, 128053, 128673, 128667, 128028, 128433, 127980, 128035, 128462, 128960, 128909, 129143, 127958, 129262, 128713, 128864, 128488, 128422, 129362, 128600, 129295, 129221, 128495, 128072, 128587, 129082, 128566, 128380, 128124, 128623, 130688, 128198, 129279, 129111, 127884, 129103, 128790]"
127217,"[129380, 127861, 128001, 127909, 127950, 129237, 128625, 127970, 127873, 128417, 129255, 128909, 127875, 129258, 128402, 128237, 128408, 127867, 128283, 128755, 128354, 129397, 129079, 129293, 129383, 129287, 128021, 128124, 129136, 128738, 128590, 128272, 129152, 129299, 128701, 128798, 129156, 129413, 127871, 129104, 129244, 129074, 128830, 128630, 128432, 128316, 128119, 128284, 128880, 128550, 128017, 128258, 128773, 129432, 128293, 128791, 129132, 128492, 128742, 128318, 128568, 128428, 128256, 128695, 128357, 129272, 128975, 128544, 127943, 129411, 128212, 128926, 128197, 128733, 129101, 128190, 128821, 128817, 128604, 129315, 129016, 129231, 128968, 128230, 128854, 128138, 128422, 128146, 128120, 128959, 128337, 128961, 128979, 128248, 128359, 129174, 129091, 129108, 129486, 127898]"
127218,"[127936, 128128, 128024, 128708, 128871, 128390, 128615, 128589, 128799, 129151, 128596, 129118, 128165, 128313, 129307, 128238, 129066, 129353, 129205, 128651, 129378, 129232, 128382, 128159, 128275, 128019, 128246, 128563, 129345, 128365, 129424, 127860, 128383, 128556, 127850, 129331, 128873, 128385, 128351, 128429, 129138, 128222, 128646, 128861, 128597, 128813, 128672, 128254, 128404, 128121, 127925, 128679, 127870, 128691, 128360, 129067, 128082, 128087, 129250, 128287, 128384, 128415, 129308, 128936, 128341, 129025, 129017, 128947, 128999, 128391, 128484, 128145, 127977, 128440, 128848, 128685, 128086, 128029, 129403, 128967, 129381, 128411, 127883, 128434, 127857, 128653, 128471, 128101, 128339, 129354, 128460, 128105, 128915, 128027, 127854, 128757, 128778, 129078, 129254, 128593]"
127219,"[128127, 129174, 128544, 129400, 129084, 128588, 129342, 128619, 128568, 129203, 128491, 129387, 127858, 128475, 129397, 129258, 128432, 128590, 128738, 128402, 128645, 129083, 128467, 129074, 128573, 129334, 129237, 128428, 128456, 128318, 128559, 128695, 129299, 128219, 128190, 128417, 128644, 129332, 129394, 128119, 129412, 128938, 128951, 128675, 129355, 129407, 129231, 128733, 128701, 127880, 128237, 129365, 129330, 128929, 129146, 128630, 129357, 127871, 129287, 128611, 129273, 129296, 129388, 128063, 128720, 129244, 129486, 129408, 127950, 128203, 129405, 129383, 128921, 128368, 129380, 129419, 128316, 128709, 128001, 129132, 128826, 128572, 128248, 129369, 127970, 128458, 128465, 128969, 128197, 129252, 128359, 127873, 128902, 128880, 127993, 129324, 128391, 127909, 128927, 128797]"
127221,"[128806, 129231, 127950, 129397, 129156, 128742, 128660, 129126, 129411, 129146, 128755, 128946, 128909, 128186, 129311, 128791, 129287, 129364, 129355, 128544, 128422, 129412, 129083, 129419, 128124, 129413, 128675, 128798, 129212, 129970, 128819, 128905, 129079, 129387, 128062, 129357, 128325, 128190, 128729, 127873, 129132, 128500, 129400, 128968, 128085, 129273, 128604, 129135, 128860, 129279, 128588, 128938, 128362, 129174, 128467, 129179, 129159, 128211, 129085, 129240, 129330, 129165, 128964, 127861, 129358, 129299, 129136, 128301, 129178, 127898, 128721, 128709, 128006, 129365, 128707, 129306, 128213, 128951, 129296, 128248, 129324, 127962, 129334, 129270, 128146, 128611, 128717, 129022, 129399, 129394, 129124, 129237, 129342, 129398, 129393, 129014, 128337, 129077, 128035, 129407]"
127222,"[129315, 129352, 127950, 128742, 129324, 129311, 129397, 128203, 128782, 128160, 128258, 129124, 128933, 129411, 128049, 128604, 129414, 128979, 128701, 128762, 127861, 128330, 129272, 129334, 128738, 128467, 129296, 128875, 128618, 128909, 128464, 128576, 128988, 128352, 127873, 129342, 129486, 129076, 128791, 128190, 129033, 129393, 129407, 128272, 129079, 129287, 128938, 128397, 129135, 129970, 129237, 128124, 129364, 130688, 127943, 129269, 127970, 129152, 129244, 128402, 129273, 128921, 128927, 128422, 129365, 128880, 127909, 128550, 128428, 128675, 128040, 128465, 128318, 129343, 128860, 128982, 129169, 128033, 128969, 128431, 129178, 129299, 129400, 128826, 128048, 128544, 127921, 128354, 128748, 129385, 128590, 128968, 129179, 128001, 128755, 129380, 129387, 128634, 129255, 128645]"
127223,"[128274, 129381, 127941, 129888, 128439, 128866, 128405, 128103, 128904, 128651, 128140, 127918, 129205, 128746, 128535, 128497, 129004, 128528, 129011, 128918, 128872, 128635, 128170, 128129, 129046, 128785, 127854, 128031, 128290, 129030, 128371, 129349, 129229, 128815, 128429, 128877, 128241, 129354, 128594, 128110, 128393, 128518, 128225, 128121, 128365, 129317, 129340, 129350, 129173, 127883, 129067, 127925, 129186, 128691, 128744, 128538, 128415, 127870, 129131, 129176, 128499, 128148, 128399, 129417, 128685, 128741, 128192, 127968, 129331, 128767, 128089, 129181, 128490, 128757, 128657, 128007, 128711, 128481, 128636, 127945, 128434, 129192, 128879, 128275, 128483, 128027, 127937, 128057, 128116, 129292, 128019, 129042, 129335, 128177, 128360, 129363, 128178, 128878, 129164, 128974]"
127224,"[127950, 129074, 129272, 128909, 129179, 128124, 129175, 128742, 128354, 129311, 129399, 129079, 128826, 129287, 128938, 129364, 129132, 129090, 128902, 129411, 128253, 129333, 129369, 128547, 129146, 128467, 129397, 127909, 129237, 128745, 128033, 127875, 128517, 128709, 128160, 128710, 128995, 129413, 129104, 128152, 128573, 128330, 128623, 128040, 129886, 128230, 129365, 128951, 129419, 128752, 128695, 129077, 128316, 129414, 129258, 129169, 127998, 128701, 128271, 129286, 129159, 129299, 127938, 129380, 129076, 128738, 128156, 127867, 127861, 129244, 128048, 129352, 128385, 128559, 127926, 127970, 128402, 127871, 129330, 128959, 129035, 128791, 128921, 129387, 128621, 128606, 129016, 128630, 129204, 128293, 129970, 129385, 128694, 128102, 129135, 128675, 129212, 128604, 129201, 128434]"
127225,"[128640, 127864, 128601, 128070, 128320, 127935, 129425, 129884, 129158, 128801, 128592, 128949, 129021, 128626, 128827, 129096, 128608, 128794, 128267, 128184, 128154, 129161, 127886, 128115, 129120, 129301, 127983, 128914, 129202, 128983, 128713, 129246, 128205, 127892, 128381, 128808, 127893, 129147, 129367, 129224, 127926, 127974, 128920, 128099, 128010, 128236, 128603, 128997, 128210, 128548, 129247, 129265, 127964, 128288, 128198, 128114, 129090, 127915, 129200, 129093, 128527, 127858, 129027, 128082, 129128, 129111, 128822, 129105, 128388, 128002, 128586, 128568, 128443, 128728, 128555, 129102, 128987, 128401, 129182, 129018, 127992, 127953, 128917, 128102, 129190, 128509, 128285, 128540, 128244, 129198, 128132, 128768, 128942, 128223, 127927, 127863, 128664, 128536, 128545, 128688]"
