aid,similarity_baseline
127211,"[128290, 128087, 128429, 127870, 128691, 128651, 129403, 127925, 129354, 127937, 128746, 128757, 129340, 128128, 128416, 128708, 128390, 127888, 129331, 128615, 128878, 129067, 128165, 128871, 129381, 127968, 128415, 128767, 129229, 128439, 128741, 128915, 128405, 128339, 128222, 128383, 129151, 127854, 128999, 128490, 128936, 128031, 128835, 128412, 128275, 128872, 129042, 128116, 128027, 127883, 128327, 128918, 127918, 128497, 129205, 128274, 129011, 128178, 128121, 127977, 128101, 128646, 129378, 127978, 128365, 127907, 128103, 128685, 128140, 129046, 128024, 128170, 128112, 128596, 128815, 128029, 128534, 129250, 128981, 128164, 128518, 127936, 129259, 128148, 128499, 129118, 128594, 128129, 128360, 127860, 128371, 129345, 129349, 128535, 129138, 128879, 128478, 129207, 128192, 128807]"
127212,"[128767, 129381, 128518, 128872, 129046, 128121, 128140, 128192, 128290, 127870, 129403, 128275, 128534, 128031, 128685, 128757, 127850, 129011, 128429, 128405, 128708, 128415, 128439, 128866, 128563, 128103, 127941, 128170, 129118, 128089, 128651, 128371, 128918, 128815, 128027, 128936, 128497, 127918, 128110, 128535, 129331, 128019, 128222, 128412, 128274, 129205, 129131, 129176, 128165, 128129, 129229, 128871, 128778, 128615, 128390, 128225, 128416, 128594, 129164, 129173, 128746, 128741, 128691, 128877, 128460, 128101, 127925, 129210, 128024, 128636, 128482, 128528, 128596, 128128, 127968, 128365, 129349, 128383, 129108, 129424, 127977, 127883, 129378, 128499, 129232, 129099, 128007, 128879, 128904, 129345, 127937, 129170, 127854, 128087, 129353, 127936, 128657, 128382, 128744, 128351]"
127213,"[129417, 129004, 128129, 127941, 128785, 129888, 129173, 128904, 128478, 128866, 128178, 129186, 128148, 128635, 129381, 128482, 128031, 128110, 128636, 129331, 129042, 128274, 129354, 127945, 127854, 129349, 127978, 129310, 128691, 128121, 129164, 128685, 128370, 127925, 128628, 128192, 128746, 129340, 128815, 128170, 128534, 128567, 129099, 129403, 128812, 128490, 128439, 128651, 128877, 128172, 128375, 127939, 128399, 129229, 129335, 128101, 128778, 128518, 128393, 127899, 127918, 129181, 129363, 129205, 129011, 128371, 129317, 128499, 128538, 129210, 127905, 127968, 129292, 128434, 128336, 128594, 129350, 128531, 128615, 129067, 127977, 127937, 128405, 128541, 128740, 128741, 128683, 128290, 128304, 129030, 128365, 128657, 128757, 128656, 129034, 128872, 128481, 128616, 128415, 128116]"
127214,"[129424, 128704, 128883, 129078, 128275, 128813, 128741, 128390, 129381, 128595, 128936, 129378, 129092, 128200, 128757, 128871, 128927, 128241, 129065, 128815, 128543, 127854, 128767, 128769, 128024, 128872, 128712, 128253, 128370, 128822, 128007, 128891, 128003, 128959, 127870, 127978, 128412, 128360, 128152, 129229, 128164, 129024, 128942, 128274, 128050, 128383, 129284, 129046, 129016, 128005, 128440, 128490, 129250, 129063, 129131, 129176, 128319, 128596, 128260, 129022, 129035, 127993, 128497, 128282, 129099, 129331, 128879, 128708, 128518, 128799, 128812, 128378, 127951, 128685, 127850, 128483, 128563, 128951, 129300, 129353, 128646, 128214, 128460, 128341, 128103, 128315, 129205, 128995, 129410, 127975, 127937, 128746, 128848, 128434, 128248, 128482, 128287, 128556, 128365, 128651]"
127215,"[128368, 129355, 128860, 128996, 128729, 129130, 129343, 129342, 129368, 129407, 128465, 129382, 129400, 129273, 128776, 129311, 129357, 129414, 128938, 128576, 129287, 129334, 128393, 129372, 129408, 129733, 128599, 128709, 129419, 129412, 128826, 129387, 128748, 128645, 128778, 129396, 129388, 128921, 128485, 128961, 129409, 128933, 128635, 129377, 127952, 129324, 128467, 128434, 128417, 128033, 129352, 129131, 129176, 128266, 129252, 129175, 129282, 128048, 127998, 129174, 128821, 128538, 129394, 128922, 129033, 127862, 128456, 129135, 128422, 128951, 129421, 129256, 129073, 128844, 128902, 128573, 129369, 128119, 129393, 129084, 128851, 129292, 129108, 129237, 128348, 128049, 128248, 129124, 128908, 128903, 128525, 128517, 127880, 128218, 128271, 127950, 127918, 128001, 129366, 129315]"
127216,"[127977, 128615, 128616, 128434, 128460, 128894, 128370, 128112, 128771, 128311, 128651, 128741, 128691, 128871, 127854, 128290, 128449, 127925, 128650, 128482, 129164, 128746, 129099, 129108, 128351, 128165, 129313, 129292, 128977, 129421, 128101, 128596, 127978, 128760, 128156, 128778, 129141, 129256, 129188, 128576, 128319, 128166, 128988, 129042, 128169, 128891, 128254, 128128, 127870, 129175, 128440, 128745, 127860, 129354, 128677, 129381, 129159, 129340, 129308, 129016, 128447, 128563, 129205, 128129, 128556, 129065, 128646, 127980, 128936, 128024, 128533, 128415, 128003, 129382, 128848, 127962, 129034, 129118, 128927, 128740, 128122, 127905, 128022, 128353, 128796, 128275, 128850, 128015, 128685, 128224, 128365, 129335, 129242, 129378, 128225, 128048, 128872, 127939, 128148, 129237]"
127217,"[129331, 128708, 128275, 128360, 127937, 129250, 128087, 128651, 129205, 128365, 128835, 128915, 128429, 129229, 127870, 128416, 128534, 128535, 128222, 128872, 128412, 128390, 127968, 129424, 129381, 128815, 128031, 128497, 128274, 128685, 129046, 129067, 128024, 128746, 128594, 128878, 128518, 128341, 127936, 128103, 129345, 129186, 128415, 129207, 129378, 129403, 128974, 128140, 128290, 128744, 128767, 129888, 128918, 128877, 129042, 127883, 129004, 128027, 128646, 128439, 127854, 128164, 128635, 127941, 128019, 128490, 129254, 128596, 128384, 128757, 128691, 127925, 128440, 128785, 128192, 128118, 128145, 129308, 128276, 128866, 129349, 129300, 128741, 128483, 128740, 128225, 129335, 128799, 128387, 129118, 128460, 128405, 128148, 128538, 128879, 128383, 129170, 128178, 127850, 129206]"
127218,"[129175, 128982, 128825, 128826, 127988, 129132, 127895, 128902, 128467, 128995, 128898, 128124, 128256, 128033, 128230, 129343, 128150, 128909, 128422, 128005, 128951, 129235, 128921, 129080, 128190, 128754, 128238, 129146, 128662, 128319, 128797, 128385, 128693, 128496, 129035, 128745, 129387, 129079, 127904, 128760, 128279, 129296, 129016, 128001, 128062, 128293, 129362, 128316, 128550, 129400, 128378, 128750, 128675, 128120, 129244, 128513, 128156, 129019, 129077, 128577, 128710, 129237, 128407, 128707, 128894, 128839, 128240, 129119, 128966, 128805, 128391, 129215, 128642, 128466, 128961, 129420, 129251, 128619, 128463, 128660, 129299, 129322, 128041, 129307, 129074, 128315, 129414, 129380, 129334, 128092, 128324, 128313, 128022, 128309, 128504, 128245, 129017, 129388, 128352, 127979]"
127219,"[128015, 129159, 129237, 128048, 128460, 128894, 128977, 127939, 128311, 128319, 129313, 128447, 128541, 129413, 128033, 129256, 128122, 128434, 129258, 128935, 129327, 129099, 128988, 128693, 129421, 128080, 129132, 128482, 128534, 128224, 128014, 128760, 128677, 128533, 128156, 128831, 128172, 128375, 129141, 127899, 129175, 128850, 128343, 128710, 128616, 127998, 129247, 129051, 128978, 128577, 128257, 128169, 128968, 129186, 127862, 129382, 128854, 128370, 128022, 128599, 128043, 128553, 128615, 128563, 128646, 128316, 128368, 128778, 128024, 128880, 128961, 128576, 129108, 128606, 129009, 129486, 128796, 128215, 128110, 127942, 129034, 128422, 129232, 127962, 129397, 128098, 128488, 128771, 129264, 128387, 128745, 128206, 127950, 128650, 128585, 129164, 129101, 128550, 128538, 129334]"
127221,"[129381, 128872, 128405, 128691, 128866, 127925, 127941, 128651, 127918, 127870, 128815, 128741, 128110, 128415, 128031, 128089, 128594, 128685, 127854, 128746, 128767, 128225, 128129, 129354, 129205, 128178, 128192, 128274, 129173, 128904, 129186, 128140, 128636, 128170, 129888, 128101, 129417, 129004, 128290, 128365, 128878, 128535, 129067, 129340, 128936, 128383, 128785, 128497, 128121, 128615, 128490, 128534, 128429, 129403, 128635, 128103, 129011, 128482, 127978, 128807, 128778, 129131, 129176, 129046, 128370, 129042, 128877, 128393, 129099, 128434, 129349, 129331, 128460, 128439, 128518, 128757, 128116, 129170, 129363, 128616, 129292, 128411, 129000, 128371, 127968, 128483, 127939, 128165, 129229, 128528, 128275, 128172, 128375, 129345, 129164, 128390, 128177, 128327, 129065, 128499]"
